shipment_id,origin_district,destination_district,origin_terrain,destination_terrain,distance_km,shipping_mode,shipment_volume_units,inventory_level_units,demand_units,warehouse_processing_days,weather_delay,traffic_delay,road_condition,carrier_rating,scheduled_delivery_days,actual_delivery_days,transportation_cost_inr,late_delivery
UKL10036,Rudraprayag,Chamoli,High-Hill,High-Hill,400.4,Standard,4,77.4,64.4,1.13,0,0,Good,3.79,4.5,6.08,1030.89,1
UKL10037,Tehri Garhwal,Nainital,Mid-Hill,Mid-Hill,420.5,Second Class,5,41.8,66.3,1.07,0,0,Moderate,4.3,3.8,4.88,1311.63,1
UKL10038,Almora,Haridwar,Mid-Hill,Plain/Lower Hill,357.7,Standard,12,106.4,57.8,1.37,0,0,Good,4.06,4.5,5.81,1175.05,1
UKL10039,Uttarkashi,Pauri Garhwal,High-Hill,Mid-Hill,504.1,Standard,5,101.4,45.7,1.23,1,0,Moderate,4.08,4.5,7.36,1360.71,1
UKL10040,Bageshwar,Champawat,Mid-Hill,Mid-Hill,380.7,Standard,9,57.6,51.2,1.25,1,0,Good,4.1,4.5,7.15,1189.26,1
UKL10041,Uttarkashi,Rudraprayag,High-Hill,High-Hill,431.2,Standard,7,64.8,88.0,2.13,1,0,Good,4.04,4.5,6.59,1302.03,1
UKL10042,Bageshwar,Pithoragarh,Mid-Hill,High-Hill,326.9,Standard,4,109.5,15.0,0.63,1,1,Good,,4.5,6.25,879.83,1
UKL10043,Haridwar,Rudraprayag,Plain/Lower Hill,High-Hill,362.3,Second Class,6,51.2,110.8,1.27,0,1,Good,5.0,3.8,6.1,1073.53,1
UKL10044,Udham Singh Nagar,Nainital,Plain/Lower Hill,Mid-Hill,171.8,Second Class,9,69.7,76.9,0.81,0,0,Moderate,4.13,3.8,5.14,828.97,1
UKL10045,Haridwar,Pithoragarh,Plain/Lower Hill,High-Hill,263.1,Standard,8,71.8,72.7,1.31,0,1,Moderate,4.7,4.5,6.98,943.2,1
UKL10046,Udham Singh Nagar,Almora,Plain/Lower Hill,Mid-Hill,332.3,Second Class,4,111.5,74.6,1.74,0,0,Good,4.04,3.8,6.08,,1
UKL10047,Udham Singh Nagar,Pauri Garhwal,Plain/Lower Hill,Mid-Hill,316.1,Second Class,9,94.2,70.7,1.35,0,0,Good,4.14,3.8,4.41,1150.21,1
UKL10048,Nainital,Pauri Garhwal,Mid-Hill,Mid-Hill,168.5,Second Class,8,84.7,102.3,1.31,0,0,Good,3.66,3.8,5.2,772.27,1
UKL10049,Champawat,Haridwar,Mid-Hill,Plain/Lower Hill,299.5,Standard,12,89.3,59.0,1.01,0,0,Good,3.29,4.5,6.05,1085.1,1
UKL10050,Bageshwar,Uttarkashi,Mid-Hill,High-Hill,310.8,Standard,10,44.3,83.4,1.69,0,0,Good,,4.5,6.17,1089.38,1
UKL10051,Uttarkashi,Bageshwar,High-Hill,Mid-Hill,250.3,Standard,8,82.3,82.8,0.9,0,0,Moderate,3.82,4.5,5.71,847.49,1
UKL10052,Pauri Garhwal,Almora,Mid-Hill,Mid-Hill,106.3,Second Class,8,80.8,74.8,0.64,0,0,Good,4.85,3.8,4.6,581.53,1
UKL10053,Dehradun,Nainital,Plain/Lower Hill,Mid-Hill,213.9,Same Day,3,47.3,61.3,1.05,0,0,Poor,3.44,1.2,3.07,1180.52,1
UKL10054,Almora,Champawat,Mid-Hill,Mid-Hill,376.2,Standard,14,118.4,89.5,0.71,0,1,Moderate,3.88,4.5,6.31,1304.48,1
UKL10055,Chamoli,Rudraprayag,High-Hill,High-Hill,490.1,Same Day,9,70.3,90.8,1.11,0,0,Good,4.06,1.2,3.04,1737.38,1
UKL10056,Pithoragarh,Udham Singh Nagar,High-Hill,Plain/Lower Hill,213.0,Standard,9,122.4,67.6,,0,1,Moderate,4.48,4.5,6.23,830.87,1
UKL10057,Dehradun,Haridwar,Plain/Lower Hill,Plain/Lower Hill,121.0,Second Class,6,86.5,85.7,1.14,0,0,Good,4.6,3.8,4.63,721.12,1
UKL10058,Tehri Garhwal,Uttarkashi,Mid-Hill,High-Hill,184.0,Standard,5,88.5,61.7,0.95,1,0,Poor,3.39,4.5,6.69,765.53,1
UKL10059,Haridwar,Bageshwar,Plain/Lower Hill,Mid-Hill,276.9,Second Class,7,29.8,67.8,1.37,0,1,Good,4.22,3.8,5.47,1098.5,1
UKL10060,Uttarkashi,Rudraprayag,High-Hill,High-Hill,289.2,Standard,10,49.6,85.2,0.86,1,1,Moderate,4.18,4.5,7.61,1014.35,1
UKL10061,Dehradun,Haridwar,Plain/Lower Hill,Plain/Lower Hill,59.7,Standard,8,82.3,92.9,0.2,0,1,Good,4.53,4.5,4.54,459.11,0
UKL10062,Chamoli,Nainital,High-Hill,Mid-Hill,325.5,Standard,11,18.7,81.1,1.27,0,0,Moderate,3.76,4.5,6.52,1181.97,1
UKL10063,Haridwar,Almora,Plain/Lower Hill,Mid-Hill,339.3,First Class,8,84.3,75.6,1.01,0,0,Good,3.67,2.8,4.7,1222.26,1
UKL10064,Udham Singh Nagar,Champawat,Plain/Lower Hill,Mid-Hill,249.9,Standard,10,75.0,27.1,1.54,0,1,Good,5.0,4.5,5.96,886.21,1
UKL10065,Udham Singh Nagar,Bageshwar,Plain/Lower Hill,Mid-Hill,285.6,Standard,11,64.5,55.7,1.39,0,1,Good,3.8,4.5,6.26,1013.04,1
UKL10066,Champawat,Haridwar,Mid-Hill,Plain/Lower Hill,311.3,First Class,7,82.8,89.4,0.78,0,0,Moderate,3.77,2.8,3.85,1172.51,1
UKL10067,Champawat,Almora,Mid-Hill,Mid-Hill,187.5,Standard,5,60.8,64.7,1.38,0,0,Good,4.19,4.5,4.8,737.92,1
UKL10068,Uttarkashi,Pithoragarh,High-Hill,High-Hill,495.6,Standard,5,79.6,32.9,1.64,0,0,Moderate,3.74,4.5,6.95,1379.79,1
UKL10069,Nainital,Uttarkashi,Mid-Hill,High-Hill,397.1,Same Day,6,47.2,81.5,1.42,0,0,Moderate,4.58,1.2,2.38,1477.31,1
UKL10070,Nainital,Udham Singh Nagar,Mid-Hill,Plain/Lower Hill,349.8,First Class,9,80.6,69.5,1.37,0,0,Moderate,3.95,2.8,4.07,1346.04,1
UKL10071,Chamoli,Uttarkashi,High-Hill,High-Hill,579.2,Second Class,9,52.3,74.5,1.8,0,1,Good,3.34,3.8,5.58,1662.75,1
UKL10072,Dehradun,Champawat,Plain/Lower Hill,Mid-Hill,204.3,Standard,12,107.5,80.8,0.39,1,0,Moderate,3.89,4.5,7.09,869.77,1
UKL10073,Chamoli,Bageshwar,High-Hill,Mid-Hill,412.2,First Class,10,49.8,54.8,1.25,0,1,Moderate,3.34,2.8,5.23,1480.61,1
UKL10074,Chamoli,Pauri Garhwal,High-Hill,Mid-Hill,394.1,Standard,9,54.7,80.5,0.73,0,1,Moderate,5.0,4.5,6.45,1188.03,1
UKL10075,Tehri Garhwal,Bageshwar,Mid-Hill,Mid-Hill,322.3,Same Day,8,74.2,62.9,1.02,0,0,Poor,4.69,1.2,2.75,1418.81,1
UKL10076,Champawat,Almora,Mid-Hill,Mid-Hill,303.8,Standard,11,81.3,105.2,1.11,0,1,Moderate,4.6,4.5,6.14,1173.49,1
UKL10077,Pithoragarh,Chamoli,High-Hill,High-Hill,457.0,Standard,8,78.8,81.5,1.26,0,0,Moderate,3.9,4.5,7.06,1311.12,1
UKL10078,Bageshwar,Champawat,Mid-Hill,Mid-Hill,288.2,Second Class,7,108.8,54.8,1.44,1,0,Moderate,4.39,3.8,5.74,1106.84,1
UKL10079,Haridwar,Rudraprayag,Plain/Lower Hill,High-Hill,364.8,Standard,10,53.6,101.4,1.37,0,0,Moderate,4.05,4.5,5.84,1160.03,1
UKL10080,Champawat,Tehri Garhwal,Mid-Hill,Mid-Hill,339.9,Second Class,10,57.4,47.1,0.79,0,1,Poor,4.1,3.8,5.77,1303.47,1
UKL10081,Tehri Garhwal,Bageshwar,Mid-Hill,Mid-Hill,254.2,Second Class,9,80.2,72.0,1.59,0,0,Moderate,4.13,3.8,4.73,1089.01,1
UKL10082,Bageshwar,Tehri Garhwal,Mid-Hill,Mid-Hill,251.2,Standard,9,94.6,62.4,0.86,0,0,Good,3.95,4.5,6.0,986.06,1
UKL10083,Tehri Garhwal,Nainital,Mid-Hill,Mid-Hill,253.1,Standard,14,101.1,68.6,1.55,0,0,Good,3.92,4.5,5.0,1021.57,1
UKL10084,Chamoli,Pauri Garhwal,High-Hill,Mid-Hill,538.2,First Class,9,122.6,87.1,0.97,0,0,Moderate,3.48,2.8,4.84,1718.85,1
UKL10085,Pithoragarh,Haridwar,High-Hill,Plain/Lower Hill,376.1,Standard,3,96.9,53.5,1.33,0,0,Good,3.12,4.5,6.42,1055.67,1
UKL10086,Tehri Garhwal,Pithoragarh,Mid-Hill,High-Hill,364.0,Standard,13,61.1,57.4,1.2,0,1,Moderate,4.51,4.5,6.73,1220.02,1
UKL10087,Chamoli,Almora,High-Hill,Mid-Hill,323.0,Standard,5,29.2,69.1,0.86,0,1,Good,4.13,4.5,5.83,960.44,1
UKL10088,Chamoli,Nainital,High-Hill,Mid-Hill,408.3,Standard,10,80.9,88.6,1.55,1,0,Moderate,3.67,4.5,7.13,1243.5,1
UKL10089,Bageshwar,Rudraprayag,Mid-Hill,High-Hill,438.0,Standard,12,100.8,74.8,0.93,0,0,Moderate,3.28,4.5,6.26,1375.82,1
UKL10090,Bageshwar,Pithoragarh,Mid-Hill,High-Hill,260.6,Standard,8,69.3,67.5,1.66,0,1,Moderate,3.92,4.5,7.15,960.9,1
UKL10091,Bageshwar,Pithoragarh,Mid-Hill,High-Hill,351.1,Standard,7,112.9,51.7,1.05,0,1,Good,4.26,4.5,5.65,1106.73,1
UKL10092,Haridwar,Pauri Garhwal,Plain/Lower Hill,Mid-Hill,234.1,First Class,7,75.8,34.6,0.6,0,0,Good,4.36,2.8,3.47,1044.33,1
UKL10093,Almora,Haridwar,Mid-Hill,Plain/Lower Hill,195.7,Standard,8,83.0,52.7,1.25,0,0,Poor,,4.5,7.12,874.57,1
UKL10094,Uttarkashi,Pithoragarh,High-Hill,High-Hill,451.5,Standard,12,85.8,102.2,1.24,1,0,Moderate,3.39,4.5,6.89,1416.85,1
UKL10095,Nainital,Pithoragarh,Mid-Hill,High-Hill,282.5,Second Class,5,101.4,55.4,1.29,0,0,Moderate,4.65,3.8,5.44,985.06,1
UKL10096,Nainital,Rudraprayag,Mid-Hill,High-Hill,351.9,Second Class,9,74.7,84.7,1.52,0,0,Poor,3.75,3.8,5.82,1282.28,1
UKL10097,Almora,Nainital,Mid-Hill,Mid-Hill,112.6,Standard,8,31.5,46.3,0.91,0,0,Moderate,3.99,4.5,6.18,636.63,1
UKL10098,Dehradun,Rudraprayag,Plain/Lower Hill,High-Hill,288.0,Standard,6,64.0,87.0,1.68,0,0,Moderate,4.29,4.5,6.74,1037.11,1
UKL10099,Rudraprayag,Bageshwar,High-Hill,Mid-Hill,366.2,First Class,4,77.0,101.9,1.45,0,0,Moderate,3.95,2.8,4.4,1237.62,1
UKL10100,Bageshwar,Pauri Garhwal,Mid-Hill,Mid-Hill,341.1,Same Day,6,96.3,81.2,1.14,0,0,Good,4.51,1.2,3.21,1421.02,1
UKL10101,Uttarkashi,Pithoragarh,High-Hill,High-Hill,321.6,Standard,4,66.7,99.3,1.11,0,1,Moderate,3.54,4.5,5.95,973.09,1
UKL10102,Udham Singh Nagar,Champawat,Plain/Lower Hill,Mid-Hill,291.7,Standard,11,57.2,70.9,1.36,0,0,Good,3.59,4.5,6.32,1054.69,1
UKL10103,Rudraprayag,Dehradun,High-Hill,Plain/Lower Hill,227.2,Second Class,9,49.0,81.5,1.28,1,1,Moderate,4.6,3.8,6.14,985.42,1
UKL10104,Bageshwar,Haridwar,Mid-Hill,Plain/Lower Hill,133.8,First Class,8,20.2,76.4,1.06,0,1,Moderate,4.43,2.8,4.26,893.57,1
UKL10105,Champawat,Haridwar,Mid-Hill,Plain/Lower Hill,315.6,Standard,9,43.0,54.0,0.7,1,0,Moderate,4.22,4.5,5.93,1039.48,1
UKL10106,Uttarkashi,Chamoli,High-Hill,High-Hill,441.9,First Class,9,84.4,67.4,1.4,1,0,Moderate,3.91,2.8,4.75,1469.69,1
UKL10107,Uttarkashi,Nainital,High-Hill,Mid-Hill,466.7,Standard,8,58.4,78.9,1.49,0,0,Moderate,4.77,4.5,7.19,1360.82,1
UKL10108,Haridwar,Rudraprayag,Plain/Lower Hill,High-Hill,265.9,Second Class,7,85.4,87.5,1.4,0,0,Moderate,5.0,3.8,5.23,1020.23,1
UKL10109,Chamoli,Nainital,High-Hill,Mid-Hill,417.6,Standard,10,45.4,64.7,1.58,0,1,Moderate,3.87,4.5,7.07,1271.07,1
UKL10110,Almora,Chamoli,Mid-Hill,High-Hill,412.9,Standard,6,71.4,52.9,0.84,0,0,Good,3.9,4.5,5.89,1203.2,1
UKL10111,Bageshwar,Tehri Garhwal,Mid-Hill,Mid-Hill,348.7,First Class,10,43.5,88.3,0.84,0,0,Moderate,3.94,2.8,5.11,1447.46,1
UKL10112,Haridwar,Rudraprayag,Plain/Lower Hill,High-Hill,348.0,Same Day,5,66.4,57.7,0.2,0,1,Good,4.25,1.2,1.47,1264.83,1
UKL10113,Uttarkashi,Champawat,High-Hill,Mid-Hill,278.2,Standard,7,25.8,46.6,0.84,0,0,Good,3.72,4.5,5.82,965.25,1
UKL10114,Dehradun,Pithoragarh,Plain/Lower Hill,High-Hill,345.1,Same Day,8,65.9,61.6,1.47,0,0,Good,4.01,1.2,2.41,1402.25,1
UKL10115,Uttarkashi,Haridwar,High-Hill,Plain/Lower Hill,291.0,Standard,9,87.9,88.3,1.72,1,1,Moderate,4.19,4.5,7.18,1073.8,1
UKL10116,Haridwar,Nainital,Plain/Lower Hill,Mid-Hill,136.0,First Class,7,97.6,15.0,1.2,0,0,Moderate,4.59,2.8,4.0,773.76,1
UKL10117,Uttarkashi,Rudraprayag,High-Hill,High-Hill,291.1,Standard,7,62.1,39.2,1.58,0,0,Moderate,3.9,4.5,6.63,1043.18,1
UKL10118,Champawat,Chamoli,Mid-Hill,High-Hill,317.7,First Class,7,39.8,81.3,,1,0,Moderate,4.41,2.8,4.31,1179.02,1
UKL10119,Champawat,Almora,Mid-Hill,Mid-Hill,253.2,First Class,9,95.2,84.0,1.48,0,0,Moderate,4.59,2.8,4.52,1144.35,1
UKL10120,Pithoragarh,Dehradun,High-Hill,Plain/Lower Hill,405.9,Standard,10,62.2,61.5,1.23,0,0,Good,4.15,4.5,5.74,1168.16,1
UKL10121,Nainital,Dehradun,Mid-Hill,Plain/Lower Hill,267.5,First Class,13,83.5,85.0,1.15,0,0,Moderate,3.95,2.8,3.75,1201.38,1
UKL10122,Bageshwar,Pithoragarh,Mid-Hill,High-Hill,268.8,Standard,9,71.1,62.5,0.93,0,0,Moderate,3.81,4.5,6.04,975.59,1
UKL10123,Dehradun,Pithoragarh,Plain/Lower Hill,High-Hill,223.7,Standard,10,58.5,84.8,1.24,0,0,Moderate,4.44,4.5,5.51,895.13,1
UKL10124,Haridwar,Uttarkashi,Plain/Lower Hill,High-Hill,370.6,Standard,3,78.6,78.8,1.02,0,1,Poor,4.19,4.5,6.57,1187.3,1
UKL10125,Bageshwar,Almora,Mid-Hill,Mid-Hill,477.3,Standard,12,95.0,65.5,1.44,0,0,Moderate,4.04,4.5,6.06,1400.41,1
UKL10126,Champawat,Pauri Garhwal,Mid-Hill,Mid-Hill,197.0,Second Class,12,87.1,43.9,1.41,0,0,Moderate,4.48,3.8,5.17,978.66,1
UKL10127,Rudraprayag,Haridwar,High-Hill,Plain/Lower Hill,311.9,Second Class,14,70.5,56.1,1.15,0,1,Moderate,4.01,3.8,5.16,1331.51,1
UKL10128,Rudraprayag,Tehri Garhwal,High-Hill,Mid-Hill,537.3,Second Class,7,96.4,68.2,1.12,0,1,Good,5.0,3.8,6.09,1500.27,1
UKL10129,Uttarkashi,Bageshwar,High-Hill,Mid-Hill,257.7,Standard,12,67.6,85.0,,0,1,Moderate,3.41,4.5,6.79,1003.2,1
UKL10130,Champawat,Uttarkashi,Mid-Hill,High-Hill,439.3,Standard,4,44.7,55.2,1.5,0,0,Moderate,4.2,4.5,6.0,1232.49,1
UKL10131,Pauri Garhwal,Dehradun,Mid-Hill,Plain/Lower Hill,227.5,Standard,11,83.9,53.2,1.04,0,0,Good,4.23,4.5,5.32,821.12,1
UKL10132,Nainital,Haridwar,Mid-Hill,Plain/Lower Hill,258.4,First Class,12,95.8,66.2,1.11,0,0,Poor,4.41,2.8,4.26,1247.58,1
UKL10133,Pauri Garhwal,Almora,Mid-Hill,Mid-Hill,427.0,Second Class,8,86.3,37.0,1.43,0,1,Good,4.11,3.8,6.18,1309.64,1
UKL10134,Uttarkashi,Bageshwar,High-Hill,Mid-Hill,214.5,Standard,3,65.9,47.3,1.44,0,0,Good,3.97,4.5,5.35,763.09,1
UKL10135,Bageshwar,Rudraprayag,Mid-Hill,High-Hill,425.0,Standard,7,64.8,39.1,0.8,0,0,Good,4.13,4.5,5.01,1175.97,1
UKL10136,Dehradun,Uttarkashi,Plain/Lower Hill,High-Hill,340.7,Standard,12,77.9,58.0,1.01,0,0,Moderate,4.17,4.5,5.79,1119.94,1
UKL10137,Rudraprayag,Tehri Garhwal,High-Hill,Mid-Hill,406.3,Standard,3,65.6,47.2,1.25,0,0,Good,4.02,4.5,5.8,,1
UKL10138,Uttarkashi,Pauri Garhwal,High-Hill,Mid-Hill,271.4,Second Class,10,114.5,125.8,0.74,0,0,Moderate,3.85,3.8,4.95,1030.21,1
UKL10139,Almora,Uttarkashi,Mid-Hill,High-Hill,353.3,Standard,11,95.8,74.5,0.77,0,0,Good,3.79,4.5,5.98,1169.6,1
UKL10140,Uttarkashi,Almora,High-Hill,Mid-Hill,328.8,Second Class,10,101.8,73.8,1.34,0,0,Moderate,3.98,3.8,5.48,1187.0,1
UKL10141,Pauri Garhwal,Haridwar,Mid-Hill,Plain/Lower Hill,330.5,Second Class,12,72.1,70.8,1.45,0,0,Good,4.3,3.8,5.9,1223.6,1
UKL10142,Tehri Garhwal,Pauri Garhwal,Mid-Hill,Mid-Hill,402.6,Standard,5,58.1,79.3,0.81,0,1,Good,4.1,4.5,5.63,1102.52,1
UKL10143,Dehradun,Rudraprayag,Plain/Lower Hill,High-Hill,394.5,Same Day,11,91.3,89.6,,0,0,Poor,3.49,1.2,3.9,1677.32,1
UKL10144,Pauri Garhwal,Bageshwar,Mid-Hill,Mid-Hill,346.2,Standard,5,65.3,99.5,1.47,0,0,Good,3.63,4.5,5.74,1057.31,1
UKL10145,Nainital,Dehradun,Mid-Hill,Plain/Lower Hill,131.6,Standard,9,65.0,38.8,1.7,0,0,Poor,,4.5,5.81,728.89,1
UKL10146,Dehradun,Tehri Garhwal,Plain/Lower Hill,Mid-Hill,342.2,Standard,6,38.8,93.4,1.1,0,0,Good,3.77,4.5,6.07,994.87,1
UKL10147,Champawat,Rudraprayag,Mid-Hill,High-Hill,369.2,Second Class,8,83.8,45.1,1.01,0,1,Good,4.1,3.8,5.62,1123.21,1
UKL10148,Almora,Dehradun,Mid-Hill,Plain/Lower Hill,370.6,First Class,9,43.0,19.6,0.98,0,1,Good,,2.8,4.75,,1
UKL10149,Rudraprayag,Dehradun,High-Hill,Plain/Lower Hill,443.2,Same Day,8,83.6,83.8,0.7,0,0,Moderate,5.0,1.2,3.06,1634.87,1
UKL10150,Dehradun,Uttarkashi,Plain/Lower Hill,High-Hill,179.3,Standard,7,114.3,15.0,1.77,0,0,Good,4.14,4.5,4.96,749.71,1
UKL10151,Udham Singh Nagar,Champawat,Plain/Lower Hill,Mid-Hill,284.6,Standard,4,74.4,88.0,1.11,0,0,Poor,3.45,4.5,6.29,946.08,1
UKL10152,Udham Singh Nagar,Champawat,Plain/Lower Hill,Mid-Hill,343.1,Standard,6,43.2,96.5,1.02,0,0,Good,3.58,4.5,5.24,1056.59,1
UKL10153,Chamoli,Nainital,High-Hill,Mid-Hill,432.3,Standard,11,55.0,81.9,1.2,0,0,Moderate,3.76,4.5,6.84,1370.01,1
UKL10154,Champawat,Nainital,Mid-Hill,Mid-Hill,326.6,First Class,8,43.9,58.4,1.05,1,1,Good,4.1,2.8,4.93,1158.42,1
UKL10155,Tehri Garhwal,Nainital,Mid-Hill,Mid-Hill,284.2,First Class,8,69.1,77.3,0.85,0,0,Good,,2.8,4.37,1153.32,1
UKL10156,Pithoragarh,Bageshwar,High-Hill,Mid-Hill,419.8,Same Day,6,47.4,71.1,1.55,0,1,Good,3.1,1.2,3.05,1546.57,1
UKL10157,Champawat,Bageshwar,Mid-Hill,Mid-Hill,297.2,Standard,8,57.3,65.0,1.25,1,1,Good,3.81,4.5,6.7,1040.4,1
UKL10158,Rudraprayag,Udham Singh Nagar,High-Hill,Plain/Lower Hill,128.4,Second Class,8,93.0,35.7,1.34,0,0,Moderate,3.71,3.8,4.94,766.82,1
UKL10159,Champawat,Haridwar,Mid-Hill,Plain/Lower Hill,172.0,Standard,9,85.0,62.4,1.1,0,1,,4.39,4.5,6.4,775.48,1
UKL10160,Chamoli,Bageshwar,High-Hill,Mid-Hill,372.8,First Class,11,92.6,69.9,0.89,0,0,Moderate,3.81,2.8,3.6,1397.3,1
UKL10161,Almora,Uttarkashi,Mid-Hill,High-Hill,119.3,Second Class,8,72.2,67.9,1.22,0,1,Good,4.15,3.8,4.92,708.3,1
