origin_district,destination_district,shipments,high_risk_shipments,avg_predicted_delivery,avg_scheduled_delivery,risk_rate
Tehri Garhwal,Udham Singh Nagar,8,2,5.172231416946298,5.7250000000000005,25.0
Bageshwar,Chamoli,4,1,6.0692335677313025,6.2250000000000005,25.0
Chamoli,Rudraprayag,4,1,4.210568655902816,4.3,25.0
Haridwar,Pithoragarh,4,1,5.231363065542183,5.575,25.0
Nainital,Champawat,4,1,5.493062516006258,5.800000000000001,25.0
Pauri Garhwal,Nainital,4,1,4.856153464752588,4.975,25.0
Pithoragarh,Nainital,4,1,6.203679549928296,6.4,25.0
Rudraprayag,Dehradun,4,1,5.150901146594105,5.225,25.0
Tehri Garhwal,Dehradun,4,1,4.7640289729411,5.225,25.0
Tehri Garhwal,Pauri Garhwal,4,1,5.512309960953861,5.800000000000001,25.0
Almora,Haridwar,9,2,5.823502937033609,6.166666666666667,22.22222222222222
Almora,Uttarkashi,9,2,5.466535760499131,5.800000000000001,22.22222222222222
Dehradun,Pithoragarh,9,2,5.261070931827345,5.511111111111111,22.22222222222222
Dehradun,Nainital,10,2,4.936857200386079,5.26,20.0
Udham Singh Nagar,Pauri Garhwal,10,2,4.552895408374668,4.95,20.0
Almora,Nainital,5,1,5.603605237170409,6.0600000000000005,20.0
Champawat,Rudraprayag,5,1,5.989493443769507,6.26,20.0
Champawat,Tehri Garhwal,5,1,4.553042091615747,4.94,20.0
Dehradun,Chamoli,5,1,4.4128150253236615,4.58,20.0
Nainital,Tehri Garhwal,5,1,6.093000157592707,6.26,20.0
Rudraprayag,Uttarkashi,5,1,4.909842641948478,5.08,20.0
Tehri Garhwal,Chamoli,5,1,5.328991237457554,5.58,20.0
Udham Singh Nagar,Tehri Garhwal,5,1,5.374475193711092,5.720000000000001,20.0
Uttarkashi,Pauri Garhwal,5,1,5.074224377659788,5.44,20.0
Champawat,Almora,11,2,5.425750829204042,5.9,18.181818181818183
Nainital,Udham Singh Nagar,6,1,5.594579248929981,6.116666666666667,16.666666666666668
Pauri Garhwal,Bageshwar,6,1,5.410972230693845,5.6000000000000005,16.666666666666668
Rudraprayag,Chamoli,6,1,5.726143498357392,5.716666666666668,16.666666666666668
Udham Singh Nagar,Pithoragarh,6,1,4.890611370003422,5.166666666666667,16.666666666666668
Udham Singh Nagar,Rudraprayag,6,1,5.361138885010611,5.716666666666668,16.666666666666668
Chamoli,Bageshwar,7,1,5.532162470952443,5.814285714285715,14.285714285714286
Champawat,Bageshwar,7,1,5.918210420833273,6.1571428571428575,14.285714285714286
Pauri Garhwal,Dehradun,7,1,5.0942169298269855,5.528571428571429,14.285714285714286
Pithoragarh,Almora,7,1,4.9101746689638,5.385714285714286,14.285714285714286
Pithoragarh,Udham Singh Nagar,7,1,5.548305390467259,6.057142857142858,14.285714285714286
Tehri Garhwal,Pithoragarh,7,1,5.095193354862915,5.257142857142858,14.285714285714286
Uttarkashi,Champawat,7,1,4.9720961727020505,5.485714285714286,14.285714285714286
Uttarkashi,Haridwar,7,1,5.679866452067737,5.957142857142857,14.285714285714286
Bageshwar,Pauri Garhwal,8,1,5.513374166524792,5.987500000000001,12.5
Bageshwar,Uttarkashi,8,1,5.469757163395376,5.6000000000000005,12.5
Tehri Garhwal,Almora,8,1,5.073734048216897,5.6000000000000005,12.5
Udham Singh Nagar,Nainital,9,1,5.889801443907844,6.166666666666667,11.11111111111111
Bageshwar,Udham Singh Nagar,10,1,5.52688698043733,5.99,10.0
Udham Singh Nagar,Champawat,12,1,5.632725990968896,5.966666666666668,8.333333333333334
Dehradun,Bageshwar,13,1,5.105289435770336,5.769230769230769,7.6923076923076925
Tehri Garhwal,Nainital,13,1,5.3952949717579575,5.792307692307692,7.6923076923076925
Almora,Dehradun,13,0,5.325286344044896,5.953846153846154,0.0
Haridwar,Almora,11,0,5.097398719333062,5.627272727272728,0.0
Haridwar,Nainital,11,0,5.35004427615577,5.963636363636365,0.0
Champawat,Haridwar,10,0,4.700399243366742,5.25,0.0
Udham Singh Nagar,Almora,10,0,4.786875110765367,5.35,0.0
Dehradun,Udham Singh Nagar,9,0,5.07609876665889,5.877777777777778,0.0
Nainital,Pithoragarh,9,0,5.121870533742403,5.555555555555555,0.0
Uttarkashi,Bageshwar,9,0,5.4877982529473535,5.955555555555556,0.0
Chamoli,Dehradun,8,0,4.932483375053181,5.5,0.0
Haridwar,Dehradun,8,0,5.003499686752907,5.675000000000001,0.0
Pauri Garhwal,Tehri Garhwal,8,0,5.613283705741139,6.0125,0.0
Pithoragarh,Haridwar,8,0,5.2240668928775955,5.8875,0.0
Udham Singh Nagar,Bageshwar,8,0,5.531610754062731,5.8875,0.0
Almora,Tehri Garhwal,7,0,4.995401732421669,5.571428571428571,0.0
Bageshwar,Tehri Garhwal,7,0,4.641579573551901,5.214285714285714,0.0
Dehradun,Champawat,7,0,4.868095666599705,5.428571428571429,0.0
Dehradun,Haridwar,7,0,4.825619900280074,5.757142857142858,0.0
Dehradun,Tehri Garhwal,7,0,5.557163839087925,6.057142857142858,0.0
Haridwar,Bageshwar,7,0,4.675087901367297,5.285714285714286,0.0
Haridwar,Udham Singh Nagar,7,0,4.531157440144769,5.514285714285714,0.0
Pauri Garhwal,Haridwar,7,0,5.255771235667004,5.757142857142858,0.0
Haridwar,Tehri Garhwal,6,0,4.412984454281175,5.016666666666667,0.0
Nainital,Dehradun,6,0,5.53293194759875,6.0,0.0
Nainital,Haridwar,6,0,4.948869115049743,5.716666666666668,0.0
Pithoragarh,Bageshwar,6,0,4.584054766197615,4.783333333333333,0.0
Pithoragarh,Tehri Garhwal,6,0,3.9176976288656893,4.3500000000000005,0.0
Tehri Garhwal,Bageshwar,6,0,5.313567069861342,5.733333333333333,0.0
Udham Singh Nagar,Haridwar,6,0,4.4153918463101895,5.3,0.0
Uttarkashi,Udham Singh Nagar,6,0,5.222096395495793,5.8500000000000005,0.0
Bageshwar,Haridwar,5,0,5.15601360837829,5.58,0.0
Bageshwar,Nainital,5,0,5.419853304066043,5.640000000000001,0.0
Chamoli,Udham Singh Nagar,5,0,4.9219266432992415,5.44,0.0
Dehradun,Pauri Garhwal,5,0,4.835834572680741,5.26,0.0
Haridwar,Pauri Garhwal,5,0,4.881121299998251,5.380000000000001,0.0
Pauri Garhwal,Chamoli,5,0,5.877190990552837,6.12,0.0
Pithoragarh,Dehradun,5,0,5.477983041674203,5.92,0.0
Rudraprayag,Almora,5,0,5.562543164478282,5.92,0.0
Almora,Pauri Garhwal,4,0,5.309564247026481,6.050000000000001,0.0
Bageshwar,Dehradun,4,0,5.538846444239697,6.050000000000001,0.0
Champawat,Dehradun,4,0,5.417221196218732,5.800000000000001,0.0
Haridwar,Champawat,4,0,4.725381421836108,5.225,0.0
Nainital,Almora,4,0,5.697866181498599,6.2250000000000005,0.0
Nainital,Bageshwar,4,0,4.971376038373252,5.375,0.0
Pauri Garhwal,Udham Singh Nagar,4,0,5.357583388484282,5.800000000000001,0.0
Uttarkashi,Dehradun,4,0,5.675608067810495,6.050000000000001,0.0
Almora,Bageshwar,3,0,5.426326188324336,6.166666666666667,0.0
Dehradun,Uttarkashi,3,0,5.83430122770924,6.166666666666667,0.0
Rudraprayag,Udham Singh Nagar,3,0,4.684411043908925,5.066666666666667,0.0
Tehri Garhwal,Rudraprayag,3,0,5.471380410636892,5.833333333333333,0.0
Champawat,Pauri Garhwal,2,0,4.854972457702564,5.2,0.0
Champawat,Udham Singh Nagar,2,0,4.208760384669965,4.75,0.0
Pauri Garhwal,Rudraprayag,2,0,5.544413275078583,6.050000000000001,0.0
Pithoragarh,Pauri Garhwal,2,0,5.985787563575499,6.4,0.0
Tehri Garhwal,Haridwar,2,0,3.7880371305575213,4.7,0.0
Udham Singh Nagar,Dehradun,2,0,4.754941098342189,5.7,0.0
Dehradun,Almora,1,0,5.696543856167125,6.4,0.0
